filename,vmaf
Landscapes_113_h_D.jpg,64.659544
Landscapes_001_h_B.jpg,92.824026
Landscapes_179_h_B.jpg,90.485636
Landscapes_011_h_B.jpg,89.924490
Landscapes_169_h_B.jpg,90.069154
Landscapes_134_h_C.jpg,83.610670
Landscapes_124_h_C.jpg,82.733087
Landscapes_047_v_A.jpg,97.428325
Landscapes_102_h_A.jpg,97.428239
Landscapes_036_h_E.jpg,45.912875
Landscapes_026_h_E.jpg,42.702809
Landscapes_069_v_E.jpg,45.137222
Landscapes_054_h_E.jpg,46.115923
Landscapes_079_v_E.jpg,55.394827
Landscapes_101_v_E.jpg,35.707306
Landscapes_044_h_E.jpg,45.470743
Landscapes_035_v_A.jpg,97.426905
Landscapes_170_h_A.jpg,97.428542
Landscapes_008_h_A.jpg,97.428234
Landscapes_018_h_A.jpg,97.428491
Landscapes_156_h_C.jpg,84.198983
Landscapes_013_v_C.jpg,78.770663
Landscapes_146_h_C.jpg,78.770663
Landscapes_003_v_C.jpg,84.432498
Landscapes_063_h_B.jpg,89.930877
Landscapes_073_h_B.jpg,91.556989
Landscapes_087_h_C.jpg,86.572457
Landscapes_161_h_D.jpg,64.270408
Landscapes_024_v_D.jpg,71.251800
Landscapes_019_h_D.jpg,62.778005
Landscapes_009_h_D.jpg,60.888952
Landscapes_009_h_E.jpg,39.127959
Landscapes_024_v_E.jpg,53.366865
Landscapes_161_h_E.jpg,45.238944
Landscapes_019_h_E.jpg,43.286409
Landscapes_073_h_C.jpg,84.656965
Landscapes_087_h_B.jpg,93.074075
Landscapes_063_h_C.jpg,81.881330
Landscapes_110_v_A.jpg,97.428402
Landscapes_055_h_A.jpg,97.428405
Landscapes_045_h_A.jpg,97.428244
Landscapes_003_v_B.jpg,91.934723
Landscapes_146_h_B.jpg,91.934723
Landscapes_013_v_B.jpg,88.343863
Landscapes_156_h_B.jpg,90.816044
Landscapes_184_h_A.jpg,97.428217
Landscapes_079_v_D.jpg,72.728303
Landscapes_044_h_D.jpg,65.465861
Landscapes_101_v_D.jpg,58.269581
Landscapes_069_v_D.jpg,65.680599
Landscapes_054_h_D.jpg,65.757898
Landscapes_026_h_D.jpg,64.935114
Landscapes_036_h_D.jpg,64.818316
Landscapes_124_h_B.jpg,90.458915
Landscapes_134_h_B.jpg,91.077986
Landscapes_011_h_C.jpg,81.286660
Landscapes_169_h_C.jpg,82.009575
Landscapes_001_h_C.jpg,86.641780
Landscapes_179_h_C.jpg,82.176297
Landscapes_113_h_E.jpg,44.799116
Landscapes_084_v_D.jpg,71.224641
Landscapes_135_h_E.jpg,71.224641
Landscapes_108_v_E.jpg,39.684827
Landscapes_125_h_E.jpg,51.509023
Landscapes_118_v_E.jpg,40.359727
Landscapes_169_h_A.jpg,97.427722
Landscapes_011_h_A.jpg,97.427931
Landscapes_179_h_A.jpg,97.428204
Landscapes_001_h_A.jpg,97.427937
Landscapes_047_v_B.jpg,86.958922
Landscapes_102_h_B.jpg,88.736595
Landscapes_178_h_D.jpg,67.991976
Landscapes_168_h_D.jpg,69.543572
Landscapes_010_h_D.jpg,63.996013
Landscapes_062_h_D.jpg,68.089771
Landscapes_096_h_E.jpg,48.814155
Landscapes_072_h_D.jpg,68.996717
Landscapes_018_h_B.jpg,89.036151
Landscapes_008_h_B.jpg,89.694209
Landscapes_035_v_B.jpg,93.490423
Landscapes_170_h_B.jpg,89.659549
Landscapes_184_h_C.jpg,84.560724
Landscapes_055_h_C.jpg,82.774211
Landscapes_110_v_C.jpg,80.583108
Landscapes_045_h_C.jpg,81.216226
Landscapes_073_h_A.jpg,97.428403
Landscapes_063_h_A.jpg,97.428212
Landscapes_157_h_E.jpg,46.145398
Landscapes_147_h_E.jpg,47.379641
Landscapes_147_h_D.jpg,69.421089
Landscapes_157_h_D.jpg,65.416137
Landscapes_087_h_A.jpg,97.428110
Landscapes_045_h_B.jpg,89.029139
Landscapes_110_v_B.jpg,89.341387
Landscapes_055_h_B.jpg,90.671863
Landscapes_013_v_A.jpg,97.428320
Landscapes_156_h_A.jpg,97.428020
Landscapes_003_v_A.jpg,97.427988
Landscapes_146_h_A.jpg,97.427988
Landscapes_008_h_C.jpg,80.709695
Landscapes_170_h_C.jpg,80.916899
Landscapes_184_h_B.jpg,91.787425
Landscapes_035_v_C.jpg,87.584830
Landscapes_018_h_C.jpg,79.530744
Landscapes_072_h_E.jpg,48.739849
Landscapes_062_h_E.jpg,49.040983
Landscapes_096_h_D.jpg,68.051618
Landscapes_168_h_E.jpg,50.336288
Landscapes_010_h_E.jpg,43.981414
Landscapes_178_h_E.jpg,47.731251
Landscapes_102_h_C.jpg,79.635598
Landscapes_047_v_C.jpg,76.842037
Landscapes_134_h_A.jpg,97.428318
Landscapes_124_h_A.jpg,97.428467
Landscapes_125_h_D.jpg,68.175858
Landscapes_118_v_D.jpg,62.551942
Landscapes_135_h_D.jpg,62.551942
Landscapes_084_v_E.jpg,51.679268
Landscapes_108_v_D.jpg,60.169044
Landscapes_113_h_B.jpg,89.195345
Landscapes_084_v_A.jpg,97.428157
Landscapes_011_h_D.jpg,65.873905
Landscapes_169_h_D.jpg,66.512928
Landscapes_001_h_D.jpg,74.099717
Landscapes_179_h_D.jpg,67.077137
Landscapes_124_h_E.jpg,46.829059
Landscapes_134_h_E.jpg,47.696127
Landscapes_026_h_C.jpg,80.983256
Landscapes_036_h_C.jpg,80.291971
Landscapes_178_h_A.jpg,97.428169
Landscapes_010_h_A.jpg,97.427884
Landscapes_168_h_A.jpg,97.428313
Landscapes_062_h_A.jpg,97.427943
Landscapes_072_h_A.jpg,97.428230
Landscapes_079_v_C.jpg,85.430404
