pvs_parameter,naps_parameter,level,pearson
distance_index,LABA,E,0.0975289199631467
distance_index,LABB,B,-0.012793313115828698
distance_index,LABB,C,0.03677187670248849
distance_index,LABB,D,0.10267856489858374
distance_index,LABB,E,0.12915789235219377
distance_index,Entropy,B,-0.23346976005685374
distance_index,Entropy,C,-0.1908070976019596
distance_index,Entropy,D,-0.13342607785908486
distance_index,Entropy,E,-0.01438152239700162
distance,Valence,A,nan
distance,Valence,B,-0.026268894922870913
distance,Valence,C,0.013303463219668833
distance,Valence,D,0.03256989545125638
distance,Valence,E,0.03235731632165829
distance,Av/Ap,A,nan
distance,Av/Ap,B,-0.04131749416532494
distance,Av/Ap,C,0.0003630080193561915
distance,Av/Ap,D,0.024410309530619956
distance,Av/Ap,E,0.039509825199023865
distance,Arousal,A,nan
distance,Arousal,B,0.07066246596375175
distance,Arousal,C,-0.005193327193667778
distance,Arousal,D,-0.020734715290515487
distance,Arousal,E,-0.07420534344395074
distance,Luminance,A,nan
distance,Luminance,B,-0.023039097813525835
distance,Luminance,C,-0.019666208532672525
distance,Luminance,D,-0.05512102596434249
distance,Luminance,E,-0.06489135866212967
distance,Contrast,A,nan
distance,Contrast,B,-0.005303225925582403
distance,Contrast,C,0.09807951128235184
distance,Contrast,D,0.01077390385819646
distance,Contrast,E,0.03457224132171769
distance,JPEG_size80,A,nan
distance,JPEG_size80,B,0.04532083900902245
distance,JPEG_size80,C,0.05188791561409744
distance,JPEG_size80,D,0.1517213025846454
distance,JPEG_size80,E,0.12673151553735776
distance,LABL,A,nan
distance,LABL,B,-0.01848539399821478
distance,LABL,C,-0.020638779586384975
distance,LABL,D,-0.05749107863471847
distance,LABL,E,-0.0670902408000504
distance,LABA,A,nan
distance,LABA,B,0.026957335153642476
distance,LABA,C,0.0527988516025853
distance,LABA,D,-0.10772165278430418
distance,LABA,E,0.07949312822808932
distance,LABB,A,nan
distance,LABB,B,0.13218755198042104
distance,LABB,C,0.09341726140777577
distance,LABB,D,-0.07740960429167247
distance,LABB,E,0.05210293336575603
distance,Entropy,A,nan
distance,Entropy,B,-0.008561592145833298
distance,Entropy,C,0.10551327586704157
distance,Entropy,D,-0.00455289194089114
distance,Entropy,E,0.053128037055550976
